Paper_ES	Paper_ID	Paper	Host_spp	Host_strain	Host_family	Symbiont_spp	Symbio_line	Symbio_type	Symbio_introgression	Natural_enemy_spp	NE_group	NE_line	NE_type	Temperature	Rearing	NE_infection	Uninfected_symbio_strain	Experiment	Sex	Stage	Measure	Group_measure	N_t	Mean_t	SD_t	N_c	Mean_c	SD_c	Obs
P0160	P015	Berribeau_et_al_2010	Acyrthosiphon_pisum	5A	Aphididae	Hamiltonella	NA	Not_natural	Microinjection	Enterobacter	Bacteria	Ng5b	Generalist	20	Broad_bean	Stab	Natural	Lab	NA	Adult	Fecundity	Fecundity	17	21.84	10.26653301	20	28.7	7.91568064	NA
P0161	P015	Berribeau_et_al_2010	Acyrthosiphon_pisum	5A	Aphididae	Regiella	NA	Not_natural	Microinjection	Enterobacter	Bacteria	Ng5b	Generalist	20	Broad_bean	Stab	Natural	Lab	NA	Adult	Fecundity	Fecundity	20	30.57	8.407615595	20	28.7	7.91568064	NA
P0162	P015	Berribeau_et_al_2010	Acyrthosiphon_pisum	5A	Aphididae	Other	NA	Not_natural	Microinjection	Enterobacter	Bacteria	Ng5b	Generalist	20	Broad_bean	Stab	Natural	Lab	NA	Adult	Fecundity	Fecundity	20	21.88	11.40394669	20	28.7	7.91568064	NA
P0101	P188	Herren_&_Lemaitre,_2011	Drosophila_melanogaster	Oregon_R	Drosophilidae	Spiroplasma	NA	Natural	Microinjection	Erwinia_carotova	Bacteria	NA	Generalist	25	Cornmeal	Stab	Antibiotic	Lab	NA	Adult	Longevity	Survival	60	83.85	32.3661	60	120	52.176	NA
P0102	P188	Herren_&_Lemaitre,_2011	Drosophila_melanogaster	Oregon_R	Drosophilidae	Spiroplasma	NA	Natural	Microinjection	Enterobacter_cloacae	Bacteria	NA	Generalist	25	Cornmeal	Stab	Antibiotic	Lab	NA	Adult	Longevity	Survival	60	201.6	77.8176	60	300	130.44	NA
P0083	P168	Braquart-Varnier_et_al_2015	Armadillidium_vulgare 	BF	Other	Wolbachia	NA	Natural	Microinjection	Salmonella_typhimurium	Bacteria	NA	Generalist	20	Soil	Microinjection	Natural	Lab	Female	Adult	Longevity	Survival	30	110	39.76	30	96.8	42.7	NA
P0084	P168	Braquart-Varnier_et_al_2015	Armadillidium_vulgare 	WX	Other	Wolbachia	NA	Natural	Microinjection	Salmonella_typhimurium	Bacteria	NA	Generalist	20	Soil	Microinjection	Natural	Lab	Female	Adult	Longevity	Survival	30	93.33	48.11	30	72	39.49	NA
P0085	P168	Braquart-Varnier_et_al_2015	Armadillidium_vulgare 	BF	Other	Wolbachia	NA	Natural	Microinjection	Listeria_ivanovii	Bacteria	NA	Generalist	20	Soil	Microinjection	Natural	Lab	Female	Adult	Longevity	Survival	31	137.93	34.27	31	113.93	45.94	NA
P0086	P168	Braquart-Varnier_et_al_2015	Armadillidium_vulgare 	WX	Other	Wolbachia	NA	Natural	Microinjection	Listeria_ivanovii	Bacteria	NA	Generalist	20	Soil	Microinjection	Natural	Lab	Female	Adult	Longevity	Survival	31	125.41	43.8	32	79.93	51.72	NA
P0087	P168	Braquart-Varnier_et_al_2015	Porciello_dilatatus	NA	Other	Wolbachia	wCon	Natural	Microinjection	Listeria_ivanovii	Bacteria	NA	Generalist	20	Soil	Microinjection	Natural	Lab	Female	Adult	Longevity	Survival	30	175.06	45.49	30	160.66	55.99	NA
P0088	P168	Braquart-Varnier_et_al_2015	Porciello_dilatatus	NA	Other	Wolbachia	wDil	Natural	Microinjection	Listeria_ivanovii	Bacteria	NA	Generalist	20	Soil	Microinjection	Natural	Lab	Female	Adult	Longevity	Survival	30	135.73	59.27	30	160.66	55.99	NA
P0089	P168	Braquart-Varnier_et_al_2015	Porciello_dilatatus	NA	Other	Wolbachia	wCon	Natural	Microinjection	Listeria_ivanovii	Bacteria	NA	Generalist	20	Soil	Microinjection	Natural	Lab	Male	Adult	Longevity	Survival	29	126.34	51.74	30	137.86	51.59	NA
P0090	P168	Braquart-Varnier_et_al_2015	Porciello_dilatatus	NA	Other	Wolbachia	wDil	Natural	Microinjection	Listeria_ivanovii	Bacteria	NA	Generalist	20	Soil	Microinjection	Natural	Lab	Male	Adult	Longevity	Survival	31	133.54	58.52	30	137.86	51.59	NA
P0091	P168	Braquart-Varnier_et_al_2015	Porciello_dilatatus	NA	Other	Wolbachia	wCon	Natural	Microinjection	Salmonella_typhimurium	Bacteria	NA	Generalist	20	Soil	Microinjection	Natural	Lab	Female	Adult	Longevity	Survival	30	25.83	14.42	30	24.7	12.9	NA
P0092	P168	Braquart-Varnier_et_al_2015	Porciello_dilatatus	NA	Other	Wolbachia	wDil	Natural	Microinjection	Salmonella_typhimurium	Bacteria	NA	Generalist	20	Soil	Microinjection	Natural	Lab	Female	Adult	Longevity	Survival	20	46.35	16.47	30	24.7	12.9	NA
P0093	P168	Braquart-Varnier_et_al_2015	Porciello_dilatatus	NA	Other	Wolbachia	wCon	Natural	Microinjection	Salmonella_typhimurium	Bacteria	NA	Generalist	20	Soil	Microinjection	Natural	Lab	Male	Adult	Longevity	Survival	30	34.2	8.65	30	31.26	8.55	NA
P0094	P168	Braquart-Varnier_et_al_2015	Porciello_dilatatus	NA	Other	Wolbachia	wDil	Natural	Microinjection	Salmonella_typhimurium	Bacteria	NA	Generalist	20	Soil	Microinjection	Natural	Lab	Male	Adult	Longevity	Survival	20	52.85	14.52	30	31.26	8.55	NA
P0099	P068	Kambris_et_al_2009	Aedes_aegypti	PGYP1	Culicidae	Wolbachia	wMelPop	Not_natural	Microinjection	Erwinia_carotova	Bacteria	NA	Generalist	NA	Sucrose_solution	Stab	Antibiotic	Lab	Female	Adult	Longevity	Survival	60	120	46.39843577	60	39.6	17.22012856	NA
P0100	P068	Kambris_et_al_2009	Aedes_aegypti	PGYP1	Culicidae	Wolbachia	wMelPop	Not_natural	Microinjection	Micrococcus_luteus	Bacteria	NA	Generalist	NA	Sucrose_solution	Stab	Antibiotic	Lab	Female	Adult	Longevity	Survival	60	120	46.39843577	60	120	52.18220775	NA
P0141	P106	Parker_et_al_2013	Acyrthosiphon_pisum	LSR1	Aphididae	Regiella	NA	Natural	Natural	Beauveria	Fungus	NA	Generalist	20	Broad_bean	NA	Antibiotic	Lab	NA	Adult	Longevity	Survival	315	5.25	2.029931565	210	5.25	2.282971589	NA
P0082	P050	Fytrou_et_al_2006	Drosophila_simulans	NA	Drosophilidae	Wolbachia	NA	Natural	Natural	Beauveria_bassiana	Fungus	NA	Generalist	25	NA	NA	Antibiotic	Lab	Male	Adult	Longevity	Survival	400	22.26	56	400	15.46	58.6	NA
P0142	P082	Haselkorn_et_al_2013	Drosophila_falleni	NA	Drosophilidae	Spiroplasma	NA	Not_natural	Microinjection	Howardula_aoronymphium	Nematode	NA	Generalist	NA	Agaricus_bisporus	Oral	Natural	Lab	NA	Adult	Fertility	Fecundity	14	12.85	3.57	27	13.85	6.66	NA
P0143	P082	Haselkorn_et_al_2013	Drosophila_falleni	NA	Drosophilidae	Spiroplasma	NA	Not_natural	Microinjection	Howardula_spp	Nematode	NA	Generalist	NA	Agaricus_bisporus	Oral	Natural	Lab	NA	Adult	Fertility	Fecundity	21	10.85	8.53	15	8.46	7.42	NA
P0144	P082	Haselkorn_et_al_2013	Drosophila_neotestacea	NA	Drosophilidae	Spiroplasma	NA	Natural	Natural	Howardula_aoronymphium	Nematode	NA	Generalist	NA	Agaricus_bisporus	Oral	NA	Lab	NA	Adult	Fertility	Fecundity	84	12.97	8.09	128	0.69	2.19	NA
P0145	P082	Haselkorn_et_al_2013	Drosophila_orientacea	NA	Drosophilidae	Spiroplasma	NA	Not_natural	Microinjection	Howardula_aoronymphium	Nematode	NA	Generalist	NA	Agaricus_bisporus	Oral	Natural	Lab	NA	Adult	Fertility	Fecundity	26	3.81	4.73	11	8.45	9.24	NA
P0146	P082	Haselkorn_et_al_2013	Drosophila_putrida	NA	Drosophilidae	Spiroplasma	NA	Not_natural	Microinjection	Howardula_aoronymphium	Nematode	NA	Generalist	NA	Agaricus_bisporus	Oral	Natural	Lab	NA	Adult	Fertility	Fecundity	228	6.77	8.34	172	0.13	0.7	NA
P0147	P082	Haselkorn_et_al_2013	Drosophila_tetacea	NA	Drosophilidae	Spiroplasma	NA	Not_natural	Microinjection	Howardula_aoronymphium	Nematode	NA	Generalist	NA	Agaricus_bisporus	Oral	Natural	Lab	NA	Adult	Fertility	Fecundity	22	27.81	9.7	57	20.52	7.58	NA
P0148	P184	Jaenike_et_al_2010	Drosophila_neotestacea	NA	Drosophilidae	Spiroplasma	NA	Natural	Natural	Howardula_aoronymphium	Nematode	NA	Generalist	NA	Instant_Drosophila_medium_mushroom	Oral	Natural	Field	NA	Adult	Fertility	Fecundity	65	11.13	7.175409396	65	0.95	2.821790212	NA
P0149	P184	Jaenike_et_al_2010	Drosophila_neotestacea	NA	Drosophilidae	Spiroplasma	NA	Natural	NA	Howardula_aoronymphium	Nematode	NA	Generalist	NA	Instant_Drosophila_medium_mushroom	Oral	NA	Lab	NA	Adult	Fertility	Fecundity	90	80.16	542.6832	90	3.5825	0.465725	NA
P0110	P201	Yadav_et_al_2018	Drosophila_melanogaster	NA	Drosophilidae	Spiroplasma_Wolbachia	NA	NA	Natural	Steinernema_carpocapsae	Nematode	Symbiotic	Generalist	25	Instant_Drosophila_Media	Oral	Antibiotic	Lab	NA	Larvae	Longevity	Survival	60	82.45	31.87959191	60	56.38	24.51694061	NA
P0112	P201	Yadav_et_al_2018	Drosophila_melanogaster	NA	Drosophilidae	Spiroplasma_Wolbachia	NA	NA	Natural	Steinernema_carpocapsae	Nematode	Axenic	Generalist	25	Instant_Drosophila_Media	Oral	Antibiotic	Lab	NA	Larvae	Longevity	Survival	60	67.89	26.24991503	60	71.27	30.99188289	NA
P0151	P184	Jaenike_et_al_2010	Drosophila_neotestacea	NA	Drosophilidae	Spiroplasma_Wolbachia	NA	NA	NA	Howardula_aoronymphium	Nematode	NA	Generalist	NA	Instant_Drosophila_medium_mushroom	Oral	NA	Lab	NA	Adult	Fertility	Fecundity	90	35.56	988.9236	90	3.5825	2.472417313	NA
P0111	P201	Yadav_et_al_2018	Drosophila_melanogaster	NA	Drosophilidae	Wolbachia	wMel	Natural	Natural	Steinernema_carpocapsae	Nematode	Symbiotic	Generalist	25	Instant_Drosophila_Media	Oral	Antibiotic	Lab	NA	Larvae	Longevity	Survival	60	80.53	31.13721694	60	56.49	24.5647743	NA
P0113	P201	Yadav_et_al_2018	Drosophila_melanogaster	NA	Drosophilidae	Wolbachia	wMel	Natural	Natural	Steinernema_carpocapsae	Nematode	Axenic	Generalist	25	Instant_Drosophila_Media	Oral	Antibiotic	Lab	NA	Larvae	Longevity	Survival	60	65.34	25.26394827	60	71.16	30.9440492	NA
P0150	P184	Jaenike_et_al_2010	Drosophila_neotestacea	NA	Drosophilidae	Wolbachia	NA	Natural	NA	Howardula_aoronymphium	Nematode	NA	Generalist	NA	Instant_Drosophila_medium_mushroom	Oral	NA	Lab	NA	Adult	Fertility	Fecundity	90	1.2775	86.729475	90	3.5825	2.472417313	NA
P0005	P207	Vorburger_et_al_2013	Aphis_fabae	A06-405	Aphididae	Hamiltonella	H76	Natural	Microinjection	Lysiphlebus_fabarum	Parasitoid	07-064	Generalist	20	Broad_bean	NA	Natural	Lab	Female	Adult	Weight	Body_size	51	0.63	0.142828569	36	0.636	0.114	NA
P0138	P207	Vorburger_et_al_2013	Aphis_fabae	A06-405	Aphididae	Hamiltonella	H76	Natural	Microinjection	Lysiphlebus_fabarum	Parasitoid	07-064	Generalist	20	Broad_bean	NA	Natural	Lab	Female	Adult	Longevity	Survival	51	28.07	10.85336743	46	68.11	29.61775142	NA
P0154	P013	Martinez_et_al_2018	Acyrthosiphon_pisum	AS3	Aphididae	Hamiltonella	AS3_APSE8	Natural	Microinjection	Aphidius_ervi	Parasitoid	NA	Generalist	20	Broad_bean	NA	Antibiotic	Lab	NA	Adult	Fecundity	Fecundity	5	82.4	105.9164765	5	295	252.7271256	NA
P0155	P013	Martinez_et_al_2018	Acyrthosiphon_pisum	AS3	Aphididae	Hamiltonella	AS3_APSE3	Natural	Natural	Aphidius_ervi	Parasitoid	NA	Generalist	20	Broad_bean	NA	Antibiotic	Lab	NA	Adult	Fecundity	Fecundity	5	608.8	144.2366112	5	295	252.7271256	NA
P0156	P013	Martinez_et_al_2018	Acyrthosiphon_pisum	CJ113	Aphididae	Hamiltonella	CJ113_APSE8	Natural	Microinjection	Aphidius_ervi	Parasitoid	NA	Generalist	20	Broad_bean	NA	Natural	Lab	NA	Adult	Fecundity	Fecundity	5	775.4	146.7559198	5	1711.8	202.1650316	NA
P0157	P013	Martinez_et_al_2018	Acyrthosiphon_pisum	CJ113	Aphididae	Hamiltonella	CJ113_APSE3	Natural	Microinjection	Aphidius_ervi	Parasitoid	NA	Generalist	20	Broad_bean	NA	Natural	Lab	NA	Adult	Fecundity	Fecundity	5	1007.6	90.54446422	5	1711.8	202.1650316	NA
P0158	P013	Martinez_et_al_2018	Acyrthosiphon_pisum	WI27	Aphididae	Hamiltonella	W127_APSE8	Natural	Microinjection	Aphidius_ervi	Parasitoid	NA	Generalist	20	Broad_bean	NA	Natural	Lab	NA	Adult	Fecundity	Fecundity	5	1103.6	162.5832095	5	507.2	221.9497691	NA
P0159	P013	Martinez_et_al_2018	Acyrthosiphon_pisum	WI27	Aphididae	Hamiltonella	W127_APSE3	Natural	Microinjection	Aphidius_ervi	Parasitoid	NA	Generalist	20	Broad_bean	NA	Natural	Lab	NA	Adult	Fecundity	Fecundity	5	452.8	248.3861912	5	507.2	221.9497691	NA
P0165	P207	Vorburger_et_al_2013	Aphis_fabae	A06-405	Aphididae	Hamiltonella	H76	Natural	Microinjection	Lysiphlebus_fabarum	Parasitoid	07-064	Generalist	20	Broad_bean	NA	Natural	Lab	NA	Adult	Fecundity	Fecundity	51	48.57	17.85357107	36	52.94	22.8	NA
P0166	P103	Oliver_et_al_2006	Acyrthosiphon_pisum	NA	Aphididae	Hamiltonella	NA	Natural	Microinjection	Aphidius_ervi	Parasitoid	NA	Generalist	20	Broad_bean	NA	Natural	Lab	NA	Adult	Fecundity	Fecundity	34	34.2	7.509513922	34	28	6.960448106	NA
P0172	P207	Vorburger_et_al_2013	Aphis_fabae	A06-405	Aphididae	Hamiltonella	H76	Natural	Microinjection	Lysiphlebus_fabarum	Parasitoid	07-064	Generalist	20	Broad_bean	NA	Natural	Lab	NA	Immature	Development_time	Development_time	51	7.27	1.428285686	36	7.22	0.48	NA
P0168	P103	Oliver_et_al_2006	Acyrthosiphon_pisum	NA	Aphididae	Other	NA	Natural	Microinjection	Aphidius_ervi	Parasitoid	NA	Generalist	20	Broad_bean	NA	Natural	Lab	NA	Adult	Fecundity	Fecundity	34	13.7	3.008197097	34	28	6.960448106	NA
P0167	P103	Oliver_et_al_2006	Acyrthosiphon_pisum	NA	Aphididae	Other	NA	Natural	Microinjection	Aphidius_ervi	Parasitoid	NA	Generalist	20	Broad_bean	NA	Natural	Lab	NA	Adult	Fecundity	Fecundity	34	87.9	19.30076824	34	28	6.960448106	NA
P0164	P203	Xie_et_al_2015	Drosophila_hydei	NA	Drosophilidae	Spiroplasma	NA	Natural	Microinjection	Leptopillina_heterotoma	Parasitoid	Lh14	Generalist	NA	Banana	NA	Natural	Lab	NA	Adult	Fecundity	Fecundity	7	2.951	4.021541993	7	0.145	0.272512385	NA
P0103	P189	Teixeira_et_al_2008	Drosophila_melanogaster	W1118	Drosophilidae	Wolbachia	NA	Natural	Natural	DCV	Protozoan	NA	Generalist	25	NA	Microinjection	Antibiotic	Lab	Male	Adult	Longevity	Survival	50	14.59	5.641276482	50	12.93	5.622632885	NA
P0104	P189	Teixeira_et_al_2008	Drosophila_melanogaster	VF0058-3	Drosophilidae	Wolbachia	NA	Natural	Natural	DCV	Protozoan	NA	Generalist	25	NA	Microinjection	Antibiotic	Lab	Male	Adult	Longevity	Survival	50	20	7.733072628	50	7.72	3.357055365	NA
P0105	P189	Teixeira_et_al_2008	Drosophila_melanogaster	VF0058-3	Drosophilidae	Wolbachia	NA	Natural	Natural	FHV	Protozoan	NA	Generalist	25	NA	Microinjection	Antibiotic	Lab	Male	Adult	Longevity	Survival	50	20	7.733072628	50	10.42	4.53115504	NA
P0106	P189	Teixeira_et_al_2008	Drosophila_melanogaster	VF0058-3	Drosophilidae	Wolbachia	NA	Natural	Natural	IIV-6	Protozoan	NA	Generalist	25	NA	Microinjection	Antibiotic	Lab	Male	Adult	Longevity	Survival	50	30.43	11.76587	50	36.95	16.06777147	NA
P0006	P051	Zélé_et_al_2012	Culex_pipiens	Slab	Culicidae	Wolbachia	wPip(Sl)	Natural	Natural	Plasmodium_relictum	Protozoan	SGS1	Generalist	24	Sucrose_solution	Oral	Antibiotic	Lab	Female	Adult	Wing_size	Body_size	22	3.44	0.046904158	22	3.45	0.046904158	NA
P0007	P051	Zélé_et_al_2012	Culex_pipiens	Slab	Culicidae	Wolbachia	wPip(Mc)	Natural	Backcrossing	Plasmodium_relictum	Protozoan	SGS1	Generalist	24	Sucrose_solution	Oral	Antibiotic	Lab	Female	Adult	Wing_size	Body_size	22	3.55	0.046904158	22	3.45	0.046904158	NA
P0008	P051	Zélé_et_al_2012	Culex_pipiens	Slab	Culicidae	Wolbachia	wPip(Sl)	Natural	Natural	Plasmodium_relictum	Protozoan	SGS1	Generalist	24	Sucrose_solution	Oral	Antibiotic	Lab	Female	Adult	Wing_size	Body_size	22	3.58	0.023452079	22	3.45	0.014071247	NA
P0009	P051	Zélé_et_al_2012	Culex_pipiens	Slab	Culicidae	Wolbachia	wPip(Mc)	Natural	Backcrossing	Plasmodium_relictum	Protozoan	SGS1	Generalist	24	Sucrose_solution	Oral	Antibiotic	Lab	Female	Adult	Wing_size	Body_size	22	3.55	0.023452079	22	3.45	0.014071247	NA
P0010	P073	Zele_et_al_2014	Culex_pipiens	NA	Culicidae	Wolbachia	wPip(Sl)	Natural	Natural	Plasmodium_relictum	Protozoan	SGS1	Generalist	24	Sucrose_solution	Oral	Antibiotic	Lab	Female	Adult	Wing_size	Body_size	81	3.62	0.09	83	3.52	0.091104336	NA
P0039	P051	Zélé_et_al_2012	Culex_pipiens	Slab	Culicidae	Wolbachia	wPip(Mc)	Natural	Backcrossing	Plasmodium_relictum	Protozoan	SGS1	Generalist	24	Sucrose_solution	Oral	Antibiotic	Lab	Female	Adult	Longevity	Survival	240	38.6	9.620490632	240	30.9	21.37886807	NA
P0040	P051	Zélé_et_al_2012	Culex_pipiens	Slab	Culicidae	Wolbachia	wPip(Sl)	Natural	Natural	Plasmodium_relictum	Protozoan	SGS1	Generalist	24	Sucrose_solution	Oral	Antibiotic	Lab	Female	Adult	Longevity	Survival	240	36.12	8.551547228	240	30.9	21.37886807	NA
P0041	P051	Zélé_et_al_2012	Culex_pipiens	Slab	Culicidae	Wolbachia	wPip(Mc)	Natural	Backcrossing	Plasmodium_relictum	Protozoan	SGS1	Generalist	24	Sucrose_solution	Oral	Antibiotic	Lab	Female	Adult	Longevity	Survival	190	34.75	15.20380577	190	26.34	27.5680975	NA
P0042	P051	Zélé_et_al_2012	Culex_pipiens	Slab	Culicidae	Wolbachia	wPip(Sl)	Natural	Natural	Plasmodium_relictum	Protozoan	SGS1	Generalist	24	Sucrose_solution	Oral	Antibiotic	Lab	Female	Adult	Longevity	Survival	190	35.58	17.1060045	190	26.34	27.5680975	NA
P0107	P198	Hughes_et_al_2012	Anopheles_gambiae	NA	Culicidae	Wolbachia	wAlbB	Not_natural	Microinjection	Plasmodium_berghei	Protozoan	NA	Generalist	28	Sucrose_solution	Oral	Natural	Lab	NA	Adult	Longevity	Survival	180	10	3.866536314	180	10	4.348517313	NA
P0108	P198	Hughes_et_al_2012	Anopheles_gambiae	NA	Culicidae	Wolbachia	wMelPop	Not_natural	Microinjection	Plasmodium_berghei	Protozoan	NA	Generalist	28	Sucrose_solution	Oral	Natural	Lab	NA	Adult	Longevity	Survival	180	3.9	1.507949162	180	10	4.348517313	NA
P0109	P199	Hughes_et_al_2011	Anopheles_gambiae	NA	Culicidae	Wolbachia	wMelPop	Not_natural	Microinjection	Plasmodium_falsiparum	Protozoan	NA	Generalist	28	Sucrose_solution	Oral	Natural	Lab	Female	Adult	Longevity	Survival	120	0.91	0.351854805	120	9.5	4.131091447	NA
P0152	P008	Zélé_et_al_2018_A	Culex_pipiens	Slab	Culicidae	Wolbachia	wPip	Natural	Natural	Plasmodium_relictum	Protozoan	SGS1	Generalist	24	Sucrose_solution	Oral	Antibiotic	Lab	NA	Adult	Fecundity	Fecundity	5	137	6.708203932	5	375	6.708203932	NA
P0153	P008	Zélé_et_al_2018_A	Culex_pipiens	Slab	Culicidae	Wolbachia	wPip	Natural	Natural	Plasmodium_relictum	Protozoan	SGS1	Generalist	24	Sucrose_solution	Oral	Antibiotic	Lab	NA	Adult	Fecundity	Fecundity	6	166	7.348469228	6	188	9.797958971	NA
P0169	P051	Zélé_et_al_2012	Culex_pipiens	Slab	Culicidae	Wolbachia	wPip(Sl)	Natural	Natural	Plasmodium_relictum	Protozoan	SGS1	Generalist	24	Water	Oral	Antibiotic	Lab	NA	Larva	Development_time	Development_time	6	8.25	0.75934182	6	7.83	0.710352025	NA
P0170	P051	Zélé_et_al_2012	Culex_pipiens	Slab	Culicidae	Wolbachia	wPip(Mc)	Natural	Backcrossing	Plasmodium_relictum	Protozoan	SGS1	Generalist	24	Water	Oral	Antibiotic	Lab	NA	Larva	Development_time	Development_time	6	8.19	0.783836718	6	7.83	0.710352025	NA
P0163	P049	Ghosh_et_al_2018	Bemisia_tabaci	SSA1-SG-3	Other	Other	NA	Natural	Natural	Begomovirus_EACMV-UG	Virus	NA	Generalist	27	Cassava_plants	Oral	Natural	Lab	NA	Adult	Fecundity	Fecundity	63	27.9	20.87497784	50	22.4	13.01076477	NA
P0171	P049	Ghosh_et_al_2018	Bemisia_tabaci	SSA1-SG-3	Other	Other	NA	Natural	Natural	Begomovirus	Virus	EACMV-UG	Generalist	27	Cassava_plants	Oral	Natural	Lab	NA	Immature	Development_time	Development_time	50	47.2	6.363961031	42	34.2	5.832666629	NA
P0011	P052	Martinez_et_al_2017	Drosophila_melanogaster	NA	Drosophilidae	Wolbachia	wMel	Natural	Natural	FHV	Virus	NA	Generalist	22	Cornmeal	Stab	NA	Lab	Female	Adult	Longevity	Survival	160	13.7125	3.2	236	11.9	2.51	NA
