Paper_ES	Paper_ID	Paper	Host_spp	Host_strain	Host_family	Symbiont_spp	Symbio_line	Symbio_type	Symbio_introgression	Temperature	Rearing	Nutrition	Competition	Uninfected_symbio_strain	Experiment	Sex	Stage	Measure	Group_measure	N_t	Prop_t	Alive_t	Dead_t	N_c	Prop_c	Alive_c	Dead_c	Obs
P1494	P112	Zhang_et_al_2015	Bemisia_tabaci	MED	Other	Hamiltonella	NA	Natural	Natural	26	Gossypium_hirsutum	NA	NA	Antibiotic	Lab	NA	Embryo	Egg_hatch	Survival	1500	0.928	1392	108	1453	0.863	1254	199	NA
P1596	P049	Ghosh_et_al_2018	Bemisia_tabaci	NA	Other	Other	NA	Natural	Natural	27	Cassava	NA	NA	Natural	Lab	NA	Immature	Survival	Survival	89	0.32	28	61	83	0.64	53	30	NA
P1515	P103	Oliver_et_al_2006	Acyrthosiphon_pisum	NA	Aphididae	Other	NA	Natural	Microinjection	20	Broad_bean	NA	NA	Natural	Lab	NA	Adult	Survival	Survival	64	0.5625	36	28	64	0.953125	61	3	NA
P1509	P146	Xu_et_al_2014	Helicoperva_armigera	NA	Other	Other	NA	Natural	Natural	25	NA	NA	NA	Natural	Lab	NA	Embryo	Egg_hatch	Survival	22630	0.429916041	9729	12901	19344	0.35483871	6864	12480	NA
P1579	P037	Lukasik_et_al_2011	Sitobion_avenae	NA	Aphididae	Regiella	Co21	Natural	Natural	NA	Wheat	NA	NA	Antibiotic	Lab	NA	Immature	Survival	Survival	200	0.839	168	32	200	0.848	170	30	NA
P1533	P171	McLean_et_al_2018	Acyrthosiphon_pisum	NA	Aphididae	Regiella	NA	Natural	Natural	14	Broad_bean	NA	NA	Antibiotic	Lab	Male	Adult	Survival	Survival	28	0.257	7	21	28	0.4	11	17	NA
P1534	P171	McLean_et_al_2018	Acyrthosiphon_pisum	NA	Aphididae	Regiella	NA	Natural	Natural	14	Broad_bean	NA	NA	Antibiotic	Lab	Female	Adult	Survival	Survival	14	0.394	6	8	14	0.452	6	8	NA
P1517	P106	Parker_et_al_2013	Acyrthosiphon_pisum	NA	Aphididae	Regiella	NA	NA	NA	20	Broad_bean	NA	NA	Antibiotic	Lab	NA	Adult	Survival	Survival	44	0.614	27	17	46	0.694	32	14	NA
P1537	P038	Cass_et_al_2016	Bemisia_tabaci	NA	Other	Rickettsia	NA	Natural	Natural	NA	NA	NA	NA	Natural	Lab	Female	Adult	Survival	Survival	176	0.65	114	62	107	0.483	52	55	NA
P1538	P038	Cass_et_al_2016	Bemisia_tabaci	NA	Other	Rickettsia	NA	Natural	Natural	NA	NA	NA	NA	Natural	Lab	Male	Adult	Survival	Survival	43	0.381	16	27	54	0.23	12	42	NA
P1539	P038	Cass_et_al_2016	Bemisia_tabaci	NA	Other	Rickettsia	NA	Natural	Natural	NA	NA	NA	NA	Natural	Lab	Female	Adult	Survival	Survival	114	0.26	30	84	79	0.589	47	32	NA
P1540	P038	Cass_et_al_2016	Bemisia_tabaci	NA	Other	Rickettsia	NA	Natural	Natural	NA	NA	NA	NA	Natural	Lab	Male	Adult	Survival	Survival	43	0.14	6	37	78	0.19	15	63	NA
P1541	P038	Cass_et_al_2016	Bemisia_tabaci	NA	Other	Rickettsia	NA	Natural	Natural	NA	Cowpea	NA	NA	Natural	Lab	Female	Adult	Survival	Survival	221	0.334	74	147	218	0.34	74	144	NA
P1542	P038	Cass_et_al_2016	Bemisia_tabaci	NA	Other	Rickettsia	NA	Natural	Natural	NA	Cowpea	NA	NA	Natural	Lab	Female	Adult	Survival	Survival	215	0.325	70	145	205	0.377	77	128	NA
P1597	P038	Cass_et_al_2016	Bemisia_tabaci	NA	Other	Rickettsia	NA	Natural	Natural	27	Cowpea	NA	NA	Natural	Lab	NA	Immature	Survival	Survival	5655	0.42	2375	3280	3097	0.4	1239	1858	NA
P1598	P038	Cass_et_al_2016	Bemisia_tabaci	NA	Other	Rickettsia	NA	Natural	Natural	27	Cowpea	NA	NA	Natural	Lab	NA	Immature	Survival	Survival	5022	0.41	2059	2963	3843	0.5	1922	1922	NA
P1594	P042	Chiel_et_al_2009	Bemisia_tabaci	NA	Other	Rickettsia	NA	Natural	Natural	25	Tobacco	NA	NA	Natural	Lab	NA	Immature	Survival	Survival	560	0.66	370	190	533	0.75	400	133	NA
P1599	P079	Himler_et_al_2011	Bemisia_tabaci	NA	Other	Rickettsia	NA	Natural	Natural	27	Cowpea	NA	NA	Natural	Lab	NA	Immature	Survival	Survival	25	0.796	20	5	25	0.473	12	13	NA
P1505	P157	Sontowski_et_al_2018	Chrysoperla_carnea	NA	Other	Rickettsia	NA	Natural	Natural	22	Honey_water_yeast	NA	NA	Natural	Lab	NA	Embryo	Egg_hatch	Survival	170	0.7	119	51	114	0.73	83	31	NA
P1616	P157	Sontowski_et_al_2018	Chrysoperla_carnea	NA	Other	Rickettsia	NA	Natural	Natural	22	Honey_water_yeast	NA	NA	Natural	Lab	NA	Larva	Survival	Survival	119	0.21	25	94	83	0.28	23	60	NA
P1627	P157	Sontowski_et_al_2018	Chrysoperla_carnea	NA	Other	Rickettsia	NA	Natural	Natural	22	Honey_water_yeast	NA	NA	Natural	Lab	NA	Pupa	Survival	Survival	25	0.14	4	22	23	0.25	6	17	NA
P1603	P116	Pons_et_al_2019	Aphis_fabae	A06-407	Aphididae	Serratia	NA	Natural	NA	18	Broad_bean	NA	NA	Natural	Lab	NA	Immature	Survival	Survival	35	0.74	26	9	35	0.91	32	3	NA
P1604	P116	Pons_et_al_2019	Aphis_fabae	A06-407	Aphididae	Serratia	NA	Not_natural	NA	18	Broad_bean	NA	NA	Natural	Lab	NA	Immature	Survival	Survival	35	0.65	23	12	35	0.91	32	3	NA
P1605	P116	Pons_et_al_2019	Aphis_fabae	A06-407	Aphididae	Serratia	NA	Natural	NA	18	Broad_bean	NA	NA	Natural	Lab	NA	Immature	Survival	Survival	35	0.77	27	8	35	0.91	32	3	NA
P1656	P216	Pons_et_al_2019_B	Aphis_fabae	A06_407	Aphididae	Serratia	CWBI-2.3	Natural	Oral	28	Vicia_faba	NA	NA	Natural	Lab	NA	Immature	Survival	Survival	56	0.9	50	6	56	0.69	39	17	NA
P1657	P216	Pons_et_al_2019_B	Aphis_fabae	A06_407	Aphididae	Serratia	CWBI-2.3	Natural	Oral	18	Vicia_faba	NA	NA	Natural	Lab	NA	Immature	Survival	Survival	56	0.83	46	10	56	0.74	41	15	NA
P1567	P024	Ballinger_et_al_2017	Drosophila_melanogaster	Oregon_R	Drosophilidae	Spiroplasma	MSRO	Natural	Microinjection	24	Instant_Drosophila_medium	NA	NA	Natural	Lab	NA	Immature	Survival	Survival	240	0.154166667	37	203	240	0.1375	33	207	NA
P1568	P024	Ballinger_et_al_2017	Drosophila_melanogaster	Oregon_R	Drosophilidae	Spiroplasma	MSRO	Natural	Microinjection	24	Instant_Drosophila_medium	NA	NA	Natural	Lab	NA	Immature	Survival	Survival	80	0.2375	19	61	80	0.307	25	55	NA
P1569	P024	Ballinger_et_al_2017	Drosophila_melanogaster	Oregon_R	Drosophilidae	Spiroplasma	MSRO	Natural	Microinjection	24	Instant_Drosophila_medium	NA	NA	Natural	Lab	NA	Immature	Survival	Survival	60	0.383333333	23	37	60	0.433333333	26	34	NA
P1592	P024	Ballinger_et_al_2017	Drosophila_neotestacea	NA	Drosophilidae	Spiroplasma	NA	Natural	Natural	21	Agaricus_bisporus	NA	NA	Natural	Lab	NA	Immature	Survival	Survival	80	0.1875	15	65	80	0.0877875	7	73	NA
P1654	P211	Guidolin_and_Consoli_2020	Aphis_citricidus	NA	Aphididae	Spiroplasma	NA	Not_natural	Microinjection	25	sweet_orange	NA	NA	Natural	Lab	Female	Adult	Survival	Survival	400	0.882	353	47	400	0.837	335	65	NA
P1655	P211	Guidolin_and_Consoli_2020	Aphis_citricidus	NA	Aphididae	Spiroplasma	NA	Not_natural	Microinjection	25	orange_jasmine	NA	NA	Natural	Lab	NA	Immature	Survival	Survival	400	0.727	291	109	400	0.695	278	122	NA
P1600	P162	Jones_&_Hurst_2019	Drosophila_melanogaster	Canton_S	Drosophilidae	Spiroplasma	MSRO	Natural	Natural	NA	Cornmeal	NA	NA	Natural	Lab	NA	Immature	Survival	Survival	450	0.81	365	86	450	0.8	360	90	NA
P1601	P162	Jones_&_Hurst_2019	Drosophila_melanogaster	Canton_S	Drosophilidae	Spiroplasma	MSRO	Natural	Natural	NA	Cornmeal	NA	NA	Natural	Lab	NA	Immature	Survival	Survival	450	0.721	324	126	450	0.724	326	124	NA
P1602	P162	Jones_&_Hurst_2019	Drosophila_melanogaster	Canton_S	Drosophilidae	Spiroplasma	MSRO	Natural	Natural	NA	Cornmeal	NA	NA	Natural	Lab	NA	Immature	Survival	Survival	300	0.742	223	77	300	0.785	236	65	NA
P1363	P020	Mateos_et_al_2016	Drosophila_melanogaster	2	Drosophilidae	Spiroplasma	MSRO	Natural	Microinjection	NA	Cornmeal	NA	NA	Antibiotic	Lab	NA	Immature	Survival	Survival	150	0.82	123	27	151	0.947019868	143	8	From_raw_data
P1365	P020	Mateos_et_al_2016	Drosophila_melanogaster	9	Drosophilidae	Spiroplasma	MSRO	Natural	Microinjection	NA	Cornmeal	NA	NA	Antibiotic	Lab	NA	Immature	Survival	Survival	150	0.826666667	124	26	150	0.946666667	142	8	From_raw_data
P1367	P020	Mateos_et_al_2016	Drosophila_melanogaster	14	Drosophilidae	Spiroplasma	MSRO	Natural	Microinjection	NA	Cornmeal	NA	NA	Antibiotic	Lab	NA	Immature	Survival	Survival	151	0.721854305	109	42	150	0.84	126	24	From_raw_data
P1387	P020	Mateos_et_al_2016	Drosophila_melanogaster	2	Drosophilidae	Spiroplasma	MSRO	Natural	Microinjection	NA	Cornmeal	NA	NA	Antibiotic	Lab	NA	Larva	Survival	Survival	150	0.9	135	15	151	0.98013245	148	3	From_raw_data
P1389	P020	Mateos_et_al_2016	Drosophila_melanogaster	9	Drosophilidae	Spiroplasma	MSRO	Natural	Microinjection	NA	Cornmeal	NA	NA	Antibiotic	Lab	NA	Larva	Survival	Survival	150	0.873333333	131	19	150	0.98	147	3	From_raw_data
P1391	P020	Mateos_et_al_2016	Drosophila_melanogaster	14	Drosophilidae	Spiroplasma	MSRO	Natural	Microinjection	NA	Cornmeal	NA	NA	Antibiotic	Lab	NA	Larva	Survival	Survival	151	0.913907285	138	13	150	0.9	135	15	From_raw_data
P1411	P020	Mateos_et_al_2016	Drosophila_melanogaster	2	Drosophilidae	Spiroplasma	MSRO	Natural	Microinjection	NA	Cornmeal	NA	NA	Antibiotic	Lab	NA	Pupa	Survival	Survival	135	0.911111111	123	12	148	0.966216216	143	5	From_raw_data
P1413	P020	Mateos_et_al_2016	Drosophila_melanogaster	9	Drosophilidae	Spiroplasma	MSRO	Natural	Microinjection	NA	Cornmeal	NA	NA	Antibiotic	Lab	NA	Pupa	Survival	Survival	131	0.946564885	124	7	147	0.965986395	142	5	From_raw_data
P1415	P020	Mateos_et_al_2016	Drosophila_melanogaster	14	Drosophilidae	Spiroplasma	MSRO	Natural	Microinjection	NA	Cornmeal	NA	NA	Antibiotic	Lab	NA	Pupa	Survival	Survival	138	0.789855072	109	29	135	0.933333333	126	9	From_raw_data
P1577	P011	Xie_et_al_2010	Drosophila_hydei	NA	Drosophilidae	Spiroplasma	Hap1	Natural	NA	25	Banana	NA	NA	NA	Lab	NA	Immature	Survival	Survival	810	0.83	672	138	900	0.8	720	180	NA
P1613	P011	Xie_et_al_2010	Drosophila_hydei	NA	Drosophilidae	Spiroplasma	Hap1	Natural	NA	25	Banana	NA	NA	NA	Lab	NA	Larva	Survival	Survival	810	0.92	745	65	900	0.92	828	72	NA
P1624	P011	Xie_et_al_2010	Drosophila_hydei	NA	Drosophilidae	Spiroplasma	Hap1	Natural	NA	25	Banana	NA	NA	NA	Lab	NA	Pupa	Survival	Survival	720	0.89	641	79	783	0.87	681	102	NA
P1527	P004	Xie_et_al_2011	Drosophila_hydei	NA	Drosophilidae	Spiroplasma	Hap1	Natural	NA	25	Banana	NA	NA	NA	Lab	NA	Adult	Survival	Survival	306	0.948	290	16	258	0.961	248	10	NA
P1614	P004	Xie_et_al_2011	Drosophila_hydei	NA	Drosophilidae	Spiroplasma	Hap1	Natural	NA	25	Banana	NA	NA	NA	Lab	NA	Larva	Survival	Survival	450	0.958	431	19	330	0.95	314	16	NA
P1625	P004	Xie_et_al_2011	Drosophila_hydei	NA	Drosophilidae	Spiroplasma	Hap1	Natural	NA	25	Banana	NA	NA	NA	Lab	NA	Pupa	Survival	Survival	431	0.75	323	108	314	0.824	259	55	NA
P1364	P012	Xie_et_al_2014	Drosophila_melanogaster	2	Drosophilidae	Spiroplasma	MSRO	Natural	Microinjection	NA	Cornmeal	NA	NA	Antibiotic	Lab	NA	Immature	Survival	Survival	109	0.935779817	102	7	83	0.855421687	71	12	From_raw_data
P1366	P012	Xie_et_al_2014	Drosophila_melanogaster	9	Drosophilidae	Spiroplasma	MSRO	Natural	Microinjection	NA	Cornmeal	NA	NA	Antibiotic	Lab	NA	Immature	Survival	Survival	91	0.934065934	85	6	94	0.882978723	83	11	From_raw_data
P1368	P012	Xie_et_al_2014	Drosophila_melanogaster	14	Drosophilidae	Spiroplasma	MSRO	Natural	Microinjection	NA	Cornmeal	NA	NA	Antibiotic	Lab	NA	Immature	Survival	Survival	90	0.833333333	75	15	68	0.838235294	57	11	From_raw_data
P1369	P012	Xie_et_al_2014	Drosophila_melanogaster	NA	Drosophilidae	Spiroplasma	MSRO	Natural	Microinjection	NA	Cornmeal	NA	NA	Antibiotic	Lab	NA	Immature	Survival	Survival	90	0.955555556	86	4	93	0.989247312	92	1	From_raw_data
P1370	P012	Xie_et_al_2014	Drosophila_melanogaster	NA	Drosophilidae	Spiroplasma	MSRO	Natural	Microinjection	NA	Cornmeal	NA	NA	Antibiotic	Lab	NA	Immature	Survival	Survival	90	0.844444444	76	14	86	0.88372093	76	10	From_raw_data
P1371	P012	Xie_et_al_2014	Drosophila_melanogaster	NA	Drosophilidae	Spiroplasma	MSRO	Natural	Microinjection	NA	Cornmeal	NA	NA	Antibiotic	Lab	NA	Immature	Survival	Survival	89	0.853932584	76	13	87	0.873563218	76	11	From_raw_data
P1372	P012	Xie_et_al_2014	Drosophila_melanogaster	NA	Drosophilidae	Spiroplasma	MSRO	Natural	Microinjection	NA	Cornmeal	NA	NA	Antibiotic	Lab	NA	Immature	Survival	Survival	121	0.958677686	116	5	86	0.860465116	74	12	From_raw_data
P1388	P012	Xie_et_al_2014	Drosophila_melanogaster	2	Drosophilidae	Spiroplasma	MSRO	Natural	Microinjection	NA	Cornmeal	NA	NA	Antibiotic	Lab	NA	Larva	Survival	Survival	109	0.95412844	104	5	83	0.975903614	81	2	From_raw_data
P1390	P012	Xie_et_al_2014	Drosophila_melanogaster	9	Drosophilidae	Spiroplasma	MSRO	Natural	Microinjection	NA	Cornmeal	NA	NA	Antibiotic	Lab	NA	Larva	Survival	Survival	91	0.934065934	85	6	94	0.957446809	90	4	From_raw_data
P1392	P012	Xie_et_al_2014	Drosophila_melanogaster	14	Drosophilidae	Spiroplasma	MSRO	Natural	Microinjection	NA	Cornmeal	NA	NA	Antibiotic	Lab	NA	Larva	Survival	Survival	90	0.9	81	9	68	0.852941176	58	10	From_raw_data
P1393	P012	Xie_et_al_2014	Drosophila_melanogaster	NA	Drosophilidae	Spiroplasma	MSRO	Natural	Microinjection	NA	Cornmeal	NA	NA	Antibiotic	Lab	NA	Larva	Survival	Survival	90	0.955555556	86	4	93	1	93	0	From_raw_data
P1394	P012	Xie_et_al_2014	Drosophila_melanogaster	NA	Drosophilidae	Spiroplasma	MSRO	Natural	Microinjection	NA	Cornmeal	NA	NA	Antibiotic	Lab	NA	Larva	Survival	Survival	90	0.9	81	9	86	0.88372093	76	10	From_raw_data
P1395	P012	Xie_et_al_2014	Drosophila_melanogaster	NA	Drosophilidae	Spiroplasma	MSRO	Natural	Microinjection	NA	Cornmeal	NA	NA	Antibiotic	Lab	NA	Larva	Survival	Survival	89	0.91011236	81	8	87	0.873563218	76	11	From_raw_data
P1396	P012	Xie_et_al_2014	Drosophila_melanogaster	NA	Drosophilidae	Spiroplasma	MSRO	Natural	Microinjection	NA	Cornmeal	NA	NA	Antibiotic	Lab	NA	Larva	Survival	Survival	121	0.983471074	119	2	86	0.965116279	83	3	From_raw_data
P1412	P012	Xie_et_al_2014	Drosophila_melanogaster	2	Drosophilidae	Spiroplasma	MSRO	Natural	Microinjection	NA	Cornmeal	NA	NA	Antibiotic	Lab	NA	Pupa	Survival	Survival	104	0.980769231	102	2	81	0.87654321	71	10	From_raw_data
P1414	P012	Xie_et_al_2014	Drosophila_melanogaster	9	Drosophilidae	Spiroplasma	MSRO	Natural	Microinjection	NA	Cornmeal	NA	NA	Antibiotic	Lab	NA	Pupa	Survival	Survival	85	1	85	0	90	0.922222222	83	7	From_raw_data
P1416	P012	Xie_et_al_2014	Drosophila_melanogaster	14	Drosophilidae	Spiroplasma	MSRO	Natural	Microinjection	NA	Cornmeal	NA	NA	Antibiotic	Lab	NA	Pupa	Survival	Survival	81	0.925925926	75	6	58	0.982758621	57	1	From_raw_data
P1417	P012	Xie_et_al_2014	Drosophila_melanogaster	NA	Drosophilidae	Spiroplasma	MSRO	Natural	Microinjection	NA	Cornmeal	NA	NA	Antibiotic	Lab	NA	Pupa	Survival	Survival	86	1	86	0	93	0.989247312	92	1	From_raw_data
P1418	P012	Xie_et_al_2014	Drosophila_melanogaster	NA	Drosophilidae	Spiroplasma	MSRO	Natural	Microinjection	NA	Cornmeal	NA	NA	Antibiotic	Lab	NA	Pupa	Survival	Survival	81	0.938271605	76	5	76	1	76	0	From_raw_data
P1419	P012	Xie_et_al_2014	Drosophila_melanogaster	NA	Drosophilidae	Spiroplasma	MSRO	Natural	Microinjection	NA	Cornmeal	NA	NA	Antibiotic	Lab	NA	Pupa	Survival	Survival	81	0.938271605	76	5	76	1	76	0	From_raw_data
P1420	P012	Xie_et_al_2014	Drosophila_melanogaster	NA	Drosophilidae	Spiroplasma	MSRO	Natural	Microinjection	NA	Cornmeal	NA	NA	Antibiotic	Lab	NA	Pupa	Survival	Survival	119	0.974789916	116	3	83	0.891566265	74	9	From_raw_data
P1510	P113	Zhang_et_al_2018	Tetranychus_truncatus	NA	Other	Spiroplasma	NA	Natural	Natural	25	Phaseolus_vulgaris	NA	NA	Natural	Lab	NA	Embryo	Egg_hatch	Survival	346	0.859	297	49	399	0.134	53	346	NA
P1373	P012	Xie_et_al_2014	Drosophila_melanogaster	2	Drosophilidae	Spiroplasma_Wolbachia	NA	NA	NA	NA	Cornmeal	NA	NA	Antibiotic	Lab	NA	Immature	Survival	Survival	104	0.961538462	100	4	83	0.855421687	71	12	From_raw_data
P1374	P012	Xie_et_al_2014	Drosophila_melanogaster	9	Drosophilidae	Spiroplasma_Wolbachia	NA	NA	NA	NA	Cornmeal	NA	NA	Antibiotic	Lab	NA	Immature	Survival	Survival	75	0.88	66	9	94	0.882978723	83	11	From_raw_data
P1375	P012	Xie_et_al_2014	Drosophila_melanogaster	14	Drosophilidae	Spiroplasma_Wolbachia	NA	NA	NA	NA	Cornmeal	NA	NA	Antibiotic	Lab	NA	Immature	Survival	Survival	66	0.848484848	56	10	68	0.838235294	57	11	From_raw_data
P1376	P012	Xie_et_al_2014	Drosophila_melanogaster	NA	Drosophilidae	Spiroplasma_Wolbachia	NA	NA	NA	NA	Cornmeal	NA	NA	Antibiotic	Lab	NA	Immature	Survival	Survival	80	0.925	74	6	93	0.989247312	92	1	From_raw_data
P1377	P012	Xie_et_al_2014	Drosophila_melanogaster	NA	Drosophilidae	Spiroplasma_Wolbachia	NA	NA	NA	NA	Cornmeal	NA	NA	Antibiotic	Lab	NA	Immature	Survival	Survival	118	0.881355932	104	14	86	0.88372093	76	10	From_raw_data
P1378	P012	Xie_et_al_2014	Drosophila_melanogaster	NA	Drosophilidae	Spiroplasma_Wolbachia	NA	NA	NA	NA	Cornmeal	NA	NA	Antibiotic	Lab	NA	Immature	Survival	Survival	120	0.841666667	101	19	87	0.873563218	76	11	From_raw_data
P1379	P012	Xie_et_al_2014	Drosophila_melanogaster	NA	Drosophilidae	Spiroplasma_Wolbachia	NA	NA	NA	NA	Cornmeal	NA	NA	Antibiotic	Lab	NA	Immature	Survival	Survival	90	0.833333333	75	15	86	0.860465116	74	12	From_raw_data
P1397	P012	Xie_et_al_2014	Drosophila_melanogaster	2	Drosophilidae	Spiroplasma_Wolbachia	NA	NA	NA	NA	Cornmeal	NA	NA	Antibiotic	Lab	NA	Larva	Survival	Survival	104	0.990384615	103	1	83	0.975903614	81	2	From_raw_data
P1398	P012	Xie_et_al_2014	Drosophila_melanogaster	9	Drosophilidae	Spiroplasma_Wolbachia	NA	NA	NA	NA	Cornmeal	NA	NA	Antibiotic	Lab	NA	Larva	Survival	Survival	75	0.92	69	6	94	0.957446809	90	4	From_raw_data
P1399	P012	Xie_et_al_2014	Drosophila_melanogaster	14	Drosophilidae	Spiroplasma_Wolbachia	NA	NA	NA	NA	Cornmeal	NA	NA	Antibiotic	Lab	NA	Larva	Survival	Survival	66	0.909090909	60	6	68	0.852941176	58	10	From_raw_data
P1400	P012	Xie_et_al_2014	Drosophila_melanogaster	NA	Drosophilidae	Spiroplasma_Wolbachia	NA	NA	NA	NA	Cornmeal	NA	NA	Antibiotic	Lab	NA	Larva	Survival	Survival	80	0.925	74	6	93	1	93	0	From_raw_data
P1401	P012	Xie_et_al_2014	Drosophila_melanogaster	NA	Drosophilidae	Spiroplasma_Wolbachia	NA	NA	NA	NA	Cornmeal	NA	NA	Antibiotic	Lab	NA	Larva	Survival	Survival	118	0.957627119	113	5	86	0.88372093	76	10	From_raw_data
P1402	P012	Xie_et_al_2014	Drosophila_melanogaster	NA	Drosophilidae	Spiroplasma_Wolbachia	NA	NA	NA	NA	Cornmeal	NA	NA	Antibiotic	Lab	NA	Larva	Survival	Survival	120	0.883333333	106	14	87	0.873563218	76	11	From_raw_data
P1403	P012	Xie_et_al_2014	Drosophila_melanogaster	NA	Drosophilidae	Spiroplasma_Wolbachia	NA	NA	NA	NA	Cornmeal	NA	NA	Antibiotic	Lab	NA	Larva	Survival	Survival	90	0.966666667	87	3	86	0.965116279	83	3	From_raw_data
P1421	P012	Xie_et_al_2014	Drosophila_melanogaster	2	Drosophilidae	Spiroplasma_Wolbachia	NA	NA	NA	NA	Cornmeal	NA	NA	Antibiotic	Lab	NA	Pupa	Survival	Survival	103	0.970873786	100	3	81	0.87654321	71	10	From_raw_data
P1422	P012	Xie_et_al_2014	Drosophila_melanogaster	9	Drosophilidae	Spiroplasma_Wolbachia	NA	NA	NA	NA	Cornmeal	NA	NA	Antibiotic	Lab	NA	Pupa	Survival	Survival	69	0.956521739	66	3	90	0.922222222	83	7	From_raw_data
P1423	P012	Xie_et_al_2014	Drosophila_melanogaster	14	Drosophilidae	Spiroplasma_Wolbachia	NA	NA	NA	NA	Cornmeal	NA	NA	Antibiotic	Lab	NA	Pupa	Survival	Survival	60	0.933333333	56	4	58	0.982758621	57	1	From_raw_data
P1424	P012	Xie_et_al_2014	Drosophila_melanogaster	NA	Drosophilidae	Spiroplasma_Wolbachia	NA	NA	NA	NA	Cornmeal	NA	NA	Antibiotic	Lab	NA	Pupa	Survival	Survival	74	1	74	0	93	0.989247312	92	1	From_raw_data
P1425	P012	Xie_et_al_2014	Drosophila_melanogaster	NA	Drosophilidae	Spiroplasma_Wolbachia	NA	NA	NA	NA	Cornmeal	NA	NA	Antibiotic	Lab	NA	Pupa	Survival	Survival	113	0.920353982	104	9	76	1	76	0	From_raw_data
P1426	P012	Xie_et_al_2014	Drosophila_melanogaster	NA	Drosophilidae	Spiroplasma_Wolbachia	NA	NA	NA	NA	Cornmeal	NA	NA	Antibiotic	Lab	NA	Pupa	Survival	Survival	106	0.952830189	101	5	76	1	76	0	From_raw_data
P1427	P012	Xie_et_al_2014	Drosophila_melanogaster	NA	Drosophilidae	Spiroplasma_Wolbachia	NA	NA	NA	NA	Cornmeal	NA	NA	Antibiotic	Lab	NA	Pupa	Survival	Survival	87	0.862068966	75	12	83	0.891566265	74	9	From_raw_data
P1511	P113	Zhang_et_al_2018	Tetranychus_truncatus	NA	Other	Spiroplasma_Wolbachia	NA	Natural	Natural	25	Phaseolus_vulgaris	NA	NA	Natural	Lab	NA	Embryo	Egg_hatch	Survival	557	0.92	512	45	399	0.134	53	346	NA
P1595	P005	Ahmed_et_al_2015	Bemisia_tabaci	NA	Other	Wolbachia	NA	Natural	Natural	26	Hibiscus	NA	NA	Natural	Lab	Female	Immature	Survival	Survival	40	0.66	26	14	40	0.6	24	16	NA
P1465	P022	Ant_et_al_2018	Aedes_aegypti	NA	Culicidae	Wolbachia	wAlbA	Not_natural	Microinjection	27	Water_fish_food	NA	NA	Natural	Lab	NA	Embryo	Egg_hatch	Survival	250	0.748	187	63	250	0.748	187	63	NA
P1466	P022	Ant_et_al_2018	Aedes_aegypti	NA	Culicidae	Wolbachia	wAlbA	Not_natural	Microinjection	27	Water_fish_food	NA	NA	Natural	Lab	NA	Embryo	Egg_hatch	Survival	250	0.228	57	193	250	0.752	188	62	NA
P1467	P022	Ant_et_al_2018	Aedes_aegypti	NA	Culicidae	Wolbachia	wAlbA	Not_natural	Microinjection	27	Water_fish_food	NA	NA	Natural	Lab	NA	Embryo	Egg_hatch	Survival	250	0.024	6	244	250	0.616	154	96	NA
P1468	P022	Ant_et_al_2018	Aedes_aegypti	NA	Culicidae	Wolbachia	wAlbA	Not_natural	Microinjection	27	Water_fish_food	NA	NA	Natural	Lab	NA	Embryo	Egg_hatch	Survival	250	0	0	250	250	0.828	207	43	NA
P1470	P022	Ant_et_al_2018	Aedes_aegypti	NA	Culicidae	Wolbachia	wAlbB	Not_natural	Microinjection	27	Water_fish_food	NA	NA	Natural	Lab	NA	Embryo	Egg_hatch	Survival	250	0.748	187	63	250	0.748	187	63	NA
P1471	P022	Ant_et_al_2018	Aedes_aegypti	NA	Culicidae	Wolbachia	wAlbB	Not_natural	Microinjection	27	Water_fish_food	NA	NA	Natural	Lab	NA	Embryo	Egg_hatch	Survival	250	0.856	214	36	250	0.752	188	62	NA
P1472	P022	Ant_et_al_2018	Aedes_aegypti	NA	Culicidae	Wolbachia	wAlbB	Not_natural	Microinjection	27	Water_fish_food	NA	NA	Natural	Lab	NA	Embryo	Egg_hatch	Survival	250	0.876	219	31	250	0.616	154	96	NA
P1473	P022	Ant_et_al_2018	Aedes_aegypti	NA	Culicidae	Wolbachia	wAlbB	Not_natural	Microinjection	27	Water_fish_food	NA	NA	Natural	Lab	NA	Embryo	Egg_hatch	Survival	250	0.764	191	59	250	0.828	207	43	NA
P1475	P022	Ant_et_al_2018	Aedes_aegypti	NA	Culicidae	Wolbachia	wAu	Not_natural	Microinjection	27	Water_fish_food	NA	NA	Natural	Lab	NA	Embryo	Egg_hatch	Survival	250	0.748	187	63	250	0.748	187	63	NA
