Paper_ES	Paper_ID	Paper	Host_spp	Host_strain	Host_family	Symbiont_spp	Symbio_line	Symbio_type	Symbio_introgression	Temperature	Rearing	Nutrition	Competition	Uninfected_symbio_strain	Experiment	Sex	Stage	Measure	Group_measure	N_t	Prop_t	Alive_t	Dead_t	N_c	Prop_c	Alive_c	Dead_c	Obs
P1620	P129	Sarakatsanou_et_al_2011	Ceratitis_capitata	NA	Other	Wolbachia	NA	Not_natural	Microinjection	25	Standard	NA	NA	Natural	Lab	NA	Pupa	Survival	Survival	22	0.837	18	4	155	0.969	150	5	NA
P1621	P129	Sarakatsanou_et_al_2011	Ceratitis_capitata	NA	Other	Wolbachia	NA	Not_natural	Microinjection	25	Standard	NA	NA	Natural	Lab	NA	Pupa	Survival	Survival	80	0.738	59	21	123	0.876	108	15	NA
P1622	P129	Sarakatsanou_et_al_2011	Ceratitis_capitata	NA	Other	Wolbachia	NA	Not_natural	Microinjection	25	Standard	NA	NA	Natural	Lab	NA	Pupa	Survival	Survival	71	0.93	66	5	155	0.969	150	5	NA
P1490	P169	Sumida_et_al_2017	Ephestia_kuehniella	NA	Other	Wolbachia	NA	Natural	Natural	25	Wheat_bran_yeast_glycerol	NA	NA	Antibiotic	Lab	NA	Embryo	Egg_hatch	Survival	4454	0.872	3884	570	6968	0.889	6195	773	NA
P1585	P169	Sumida_et_al_2017	Ephestia_kuehniella	NA	Other	Wolbachia	NA	Natural	Natural	25	Wheat_bran_yeast_glycerol	NA	NA	Antibiotic	Lab	NA	Immature	Survival	Survival	150	0.554	83	67	150	0.68	102	48	NA
P1451	P136	Turley_et_al_2013	Aedes_aegypti	MGYP2	Culicidae	Wolbachia	wMel	Not_natural	Microinjection	26	Water_fish_food	NA	NA	Antibiotic	Lab	NA	Embryo	Egg_hatch	Survival	3615	0.795	2874	741	4153	0.858	3563	590	NA
P1453	P136	Turley_et_al_2013	Aedes_aegypti	PGYP1	Culicidae	Wolbachia	wMelPop	Not_natural	Microinjection	26	Water_fish_food	NA	NA	Antibiotic	Lab	NA	Embryo	Egg_hatch	Survival	3161	0.737	2330	831	4153	0.858	3563	590	NA
P1499	P139	Vala_et_al_2003	Tetranychus_urticae	NA	Other	Wolbachia	NA	Natural	Natural	NA	Phaseolus_vulgaris	NA	NA	Antibiotic	Lab	NA	Embryo	Egg_hatch	Survival	657	0.73	480	177	963	0.74	713	250	NA
P1500	P139	Vala_et_al_2003	Tetranychus_urticae	NA	Other	Wolbachia	NA	Natural	Natural	NA	Phaseolus_vulgaris	NA	NA	Antibiotic	Lab	NA	Embryo	Egg_hatch	Survival	689	0.88	606	83	891	0.96	855	36	NA
P1501	P139	Vala_et_al_2003	Tetranychus_urticae	NA	Other	Wolbachia	NA	Natural	Natural	NA	Phaseolus_vulgaris	NA	NA	Antibiotic	Lab	NA	Embryo	Egg_hatch	Survival	1006	0.85	855	151	725	0.49	355	370	NA
P1502	P139	Vala_et_al_2003	Tetranychus_urticae	NA	Other	Wolbachia	NA	Natural	Natural	NA	Phaseolus_vulgaris	NA	NA	Antibiotic	Lab	NA	Embryo	Egg_hatch	Survival	894	0.91	814	80	1313	0.9	1182	131	NA
P1503	P139	Vala_et_al_2003	Tetranychus_urticae	NA	Other	Wolbachia	NA	Natural	Natural	NA	Phaseolus_vulgaris	NA	NA	Antibiotic	Lab	NA	Embryo	Egg_hatch	Survival	1537	0.95	1460	77	1646	0.85	1399	247	NA
P1380	P012	Xie_et_al_2014	Drosophila_melanogaster	2	Drosophilidae	Wolbachia	wMel	Natural	Natural	NA	Cornmeal	NA	NA	Antibiotic	Lab	NA	Immature	Survival	Survival	74	0.905405405	67	7	83	0.855421687	71	12	From_raw_data
P1381	P012	Xie_et_al_2014	Drosophila_melanogaster	9	Drosophilidae	Wolbachia	wMel	Natural	Natural	NA	Cornmeal	NA	NA	Antibiotic	Lab	NA	Immature	Survival	Survival	90	0.922222222	83	7	94	0.882978723	83	11	From_raw_data
P1382	P012	Xie_et_al_2014	Drosophila_melanogaster	14	Drosophilidae	Wolbachia	wMel	Natural	Natural	NA	Cornmeal	NA	NA	Antibiotic	Lab	NA	Immature	Survival	Survival	83	0.903614458	75	8	68	0.838235294	57	11	From_raw_data
P1383	P012	Xie_et_al_2014	Drosophila_melanogaster	NA	Drosophilidae	Wolbachia	wMel	Natural	Natural	NA	Cornmeal	NA	NA	Antibiotic	Lab	NA	Immature	Survival	Survival	81	0.962962963	78	3	93	0.989247312	92	1	From_raw_data
