Paper_ES	Paper_ID	Paper	Host_spp	Host_strain	Host_family	Symbiont_spp	Symbio_line	Symbio_type	Symbio_introgression	Natural_enemy_spp	NE_group	NE_line	NE_type	Temperature	Rearing	NE_infection	Uninfected_symbio_strain	Experiment	Sex	Stage	Measure	Group_measure	N_t	Mean_t	SD_t	N_c	Mean_c	SD_c	Obs
P0065	P163	Altinli_et_al_2019	Culex_pipiens	NA	Culicidae	Wolbachia	wPip	Natural	Natural	CpVD	Virus	NA	NA	25	Honey_solution	Natural	Antibiotic	Lab	Female	Adult	Viral_load	NE_load	15	0.0039	0.0032448	15	0.0023	0.086779	ovaries
P0066	P069	Amuzu_et_al_2018	Aedes_aegypti	NA	Culicidae	Wolbachia	wMel	Not_natural	NA	Flavivirus_OTU1	Virus	NA	NA	NA	NA	Natural	Natural	Field	NA	Adult	Viral_load	NE_load	59	1573.3	1308.9856	56	637.73	24061.5529	NA
P0067	P069	Amuzu_et_al_2018	Aedes_aegypti	NA	Culicidae	Wolbachia	wMel	Not_natural	NA	Flavivirus_OTU1	Virus	NA	NA	NA	Sucrose_solution	Natural	Natural	Lab	Female	Adult	Viral_load	NE_load	58	0.129	0.107328	35	0.02	0.7546	NA
P0068	P069	Amuzu_et_al_2018	Aedes_aegypti	NA	Culicidae	Wolbachia	wMel	Not_natural	NA	Flavivirus_OTU16	Virus	NA	NA	NA	NA	Natural	Natural	Field	NA	Adult	Viral_load	NE_load	59	0.014	0.011648	56	0.039	1.47147	NA
P0069	P069	Amuzu_et_al_2018	Aedes_aegypti	NA	Culicidae	Wolbachia	wMel	Not_natural	NA	Flavivirus_OTU16	Virus	NA	NA	NA	Sucrose_solution	Natural	Natural	Lab	Female	Adult	Viral_load	NE_load	58	3.43E-08	2.85376E-08	35	5.71E-08	2.15438E-06	NA
P0070	P069	Amuzu_et_al_2018	Aedes_aegypti	NA	Culicidae	Wolbachia	wMel	Not_natural	NA	Flavivirus_OTU2	Virus	NA	NA	NA	NA	Natural	Natural	Field	NA	Adult	Viral_load	NE_load	59	81	67.392	56	667	25165.91	NA
P0071	P069	Amuzu_et_al_2018	Aedes_aegypti	NA	Culicidae	Wolbachia	wMel	Not_natural	NA	Flavivirus_OTU2	Virus	NA	NA	NA	Sucrose_solution	Natural	Natural	Lab	Female	Adult	Viral_load	NE_load	58	0.0018	0.0014976	35	0.0000137	0.000516901	NA
P0072	P069	Amuzu_et_al_2018	Aedes_aegypti	NA	Culicidae	Wolbachia	wMel	Not_natural	NA	Flavivirus_OTU20	Virus	NA	NA	NA	NA	Natural	Natural	Field	NA	Adult	Viral_load	NE_load	59	0.022	0.018304	56	0.01	0.3773	NA
P0073	P069	Amuzu_et_al_2018	Aedes_aegypti	NA	Culicidae	Wolbachia	wMel	Not_natural	NA	Flavivirus_OTU20	Virus	NA	NA	NA	Sucrose_solution	Natural	Natural	Lab	Female	Adult	Viral_load	NE_load	58	0.000000044	3.6608E-08	35	2.23E-08	8.41379E-07	NA
P0074	P069	Amuzu_et_al_2018	Aedes_aegypti	NA	Culicidae	Wolbachia	wMel	Not_natural	NA	Flavivirus_OTU21	Virus	NA	NA	NA	NA	Natural	Natural	Field	NA	Adult	Viral_load	NE_load	59	5.00E-03	0.00416	56	0.00053	0.0199969	NA
